epochs,loss,accuracy,val_loss,val_accuracy
0,0.5026196241378784,0.8256880640983582,0.04615938663482666,0.9847618937492371
1,0.07089947164058685,0.9767113327980042,0.02073361538350582,0.9942857027053833
2,0.05468935891985893,0.9869442582130432,0.01044425368309021,0.9961904883384705
3,0.04814599081873894,0.9880028367042542,0.015244107693433762,0.9961904883384705
4,0.020869754254817963,0.9936485290527344,0.013695876114070415,0.9961904883384705
5,0.013089747168123722,0.9957656860351562,0.004670540802180767,0.9980952143669128
6,0.026378095149993896,0.9925899505615234,0.002850476186722517,0.9980952143669128
7,0.012981100007891655,0.9975299835205078,0.007861782796680927,0.9980952143669128
8,0.018093593418598175,0.9957656860351562,0.008805197663605213,0.9961904883384705
9,0.012809514999389648,0.9964714050292969,0.005121050402522087,0.9980952143669128
10,0.01138317957520485,0.9950599670410156,0.008545121178030968,0.9961904883384705
11,0.02629934996366501,0.9932956695556641,0.007795164827257395,0.9980952143669128
12,0.019114254042506218,0.9961185455322266,0.00541462330147624,0.9980952143669128
13,0.007958006113767624,0.9975299835205078,0.014979761093854904,0.9980952143669128
14,0.007161710411310196,0.9968242645263672,0.010493333451449871,0.9980952143669128
15,0.007291184738278389,0.9982357025146484,0.020082952454686165,0.9961904883384705
16,0.010602369904518127,0.9975299835205078,0.005151396617293358,0.9980952143669128
17,0.002849169773980975,0.9992942810058594,0.014718198217451572,0.9961904883384705
18,0.0006520442548207939,1.0,0.003731176257133484,0.9980952143669128
19,0.0009524960187263787,0.9996471405029297,0.03328699991106987,0.9961904883384705
20,0.0002376319607719779,1.0,0.025817200541496277,0.9961904883384705
21,0.0034142001532018185,0.9985885620117188,0.04442765191197395,0.9961904883384705
22,0.0020070718601346016,0.9996471405029297,0.028974346816539764,0.9961904883384705
23,0.023643147200345993,0.9954128265380859,0.049052320420742035,0.9942857027053833
24,0.011344359256327152,0.9964714050292969,0.017295971512794495,0.9980952143669128
25,0.00514221703633666,0.9992942810058594,0.007066776975989342,0.9961904883384705
26,0.0007660521077923477,1.0,0.011749761179089546,0.9980952143669128
27,0.0010560384253039956,0.9992942810058594,0.03630983456969261,0.9961904883384705
28,0.005044193472713232,0.9982357025146484,0.018543945625424385,0.9980952143669128
29,0.0016118028433993459,0.9989414215087891,0.00747667346149683,0.9961904883384705
30,0.012102354317903519,0.9968242645263672,0.010921193286776543,0.9980952143669128
31,0.018717415630817413,0.9947071075439453,0.05210643261671066,0.9961904883384705
32,0.021395530551671982,0.9964714050292969,0.0033241803757846355,0.9980952143669128
33,0.008318733423948288,0.9985885620117188,0.026431724429130554,0.9961904883384705
34,0.008021607995033264,0.9992942810058594,0.011549183167517185,0.9961904883384705
35,0.007203841116279364,0.9982357025146484,0.02131648175418377,0.9961904883384705
36,0.005230993963778019,0.9992942810058594,0.027747198939323425,0.9961904883384705
37,0.0006579965120181441,1.0,0.0073423245921730995,0.9980952143669128
38,0.0017745796358212829,0.9996471405029297,0.014754664152860641,0.9961904883384705
39,0.0028657601214945316,0.9996471405029297,0.025365443900227547,0.9961904883384705
40,0.00043058133451268077,1.0,0.026323454454541206,0.9961904883384705
41,0.0010441492777317762,0.9992942810058594,0.024176238104701042,0.9961904883384705
42,0.0020600638817995787,0.9992942810058594,0.030994970351457596,0.9961904883384705
43,0.00935855507850647,0.9982357025146484,0.030360708013176918,0.9961904883384705
44,0.011029603891074657,0.9978828430175781,0.03362385556101799,0.9961904883384705
45,0.0017826252151280642,0.9992942810058594,0.04461754858493805,0.9961904883384705
46,0.0005952690844424069,0.9996471405029297,0.025760866701602936,0.9961904883384705
47,0.0012478855205699801,0.9992942810058594,0.009848820976912975,0.9961904883384705
48,0.00600722199305892,0.9992942810058594,0.009592194110155106,0.9961904883384705
49,0.017044367268681526,0.9982357025146484,0.014404753223061562,0.9961904883384705
50,0.01007134560495615,0.9971771240234375,0.0016473339637741446,1.0
51,0.0024308604188263416,0.9992942810058594,0.012028439901769161,0.9961904883384705
52,0.0023799831978976727,0.9985885620117188,0.007758812513202429,0.9980952143669128
53,0.00967811606824398,0.9982357025146484,0.026642445474863052,0.9980952143669128
54,0.0009461261797696352,0.9992942810058594,0.01870354264974594,0.9961904883384705
55,0.0033703926019370556,0.9992942810058594,0.00037703936686739326,1.0
56,0.0013873378047719598,0.9996471405029297,0.0030125570483505726,0.9980952143669128
57,0.021000297740101814,0.9982357025146484,0.007603839505463839,0.9961904883384705
