epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
1,0.7868736982345581,0.8566282987594604,0.44868820905685425,0.733562707901001,0.7818182110786438,0.40375587344169617,0.9676190614700317,0.9782946705818176,0.11168161779642105,0.9026538133621216,0.9714285731315613,0.6800000071525574
2,0.9234297871589661,0.967938244342804,0.20811107754707336,0.936810314655304,0.9003782868385315,0.8380281925201416,0.9200000166893005,0.9889894127845764,0.24789538979530334,0.8534857630729675,0.5444444417953491,0.9800000190734863
3,0.9375441074371338,0.9758980870246887,0.17762139439582825,0.9523701667785645,0.9255989789962769,0.8615023493766785,0.961904764175415,0.9809895157814026,0.09432055801153183,0.8899158239364624,0.9166666865348816,0.6600000262260437
4,0.9294283986091614,0.9742380976676941,0.18978862464427948,0.9390684366226196,0.9255874752998352,0.8321596384048462,0.9485714435577393,0.9328209757804871,0.19264720380306244,0.7483969926834106,0.8965517282485962,0.5199999809265137
5,0.9354269504547119,0.976439893245697,0.1753934770822525,0.9472258687019348,0.9074299931526184,0.8744131326675415,0.954285740852356,0.9822736978530884,0.13625219464302063,0.8228803873062134,0.7096773982048035,0.8799999952316284
6,0.9509527087211609,0.984517514705658,0.13739369809627533,0.9649953842163086,0.932121217250824,0.9025821685791016,0.9714285731315613,0.9718104600906372,0.0998474508523941,0.8921890258789062,0.9069767594337463,0.7799999713897705
7,0.94989413022995,0.9866331219673157,0.13123029470443726,0.9645792245864868,0.9371921420097351,0.8931924700737,0.9580952525138855,0.9723789095878601,0.1186780259013176,0.8987065553665161,0.7333333492279053,0.8799999952316284
8,0.9671841859817505,0.9910902380943298,0.09864767640829086,0.9781230688095093,0.9459459185600281,0.9448356628417969,0.9733333587646484,0.9641263484954834,0.11446505784988403,0.8869182467460632,0.8600000143051147,0.8600000143051147
9,0.9717713594436646,0.994133472442627,0.0828687846660614,0.983195424079895,0.9541176557540894,0.9518779516220093,0.9676190614700317,0.9733894467353821,0.10273028910160065,0.9094223976135254,0.7894737124443054,0.8999999761581421
10,0.9654198884963989,0.9910333752632141,0.10040304809808731,0.973486065864563,0.9456264972686768,0.9389671087265015,0.9790475964546204,0.9930315017700195,0.07416003942489624,0.8929318189620972,0.8545454740524292,0.9399999976158142
